AM B Tech in AM,,6508,--,7479,5345,10297,7012,8086,--,11584,2860,--,5468,2953,9398,5470,1798,9074,5441,27512 30385 48716 36815 41216 47405,,,,,
AR Architecture,,196,--,--,149,--,--,--,--,--,99,--,--,114,--,--,60,--,429,431,--,--,--,--,--
BB B Tech in EC,,8196,--,15093,7977,16260 10736 14098,,,--,17421,4058,13633,9371,4575,--,9359,2966,11179,8504,38256 43323 65630 44375,,,--,52279,
BJ B Tech in EE,,16539,--,34616 12559,,--,--,14567 106119,,--,5687,--,--,7690,--,--,4315,--,10925 58198,--,75243 40570,,--,--,
BO B Tech in BT,,30879,--,--,24548 52586 58474,,,--,--,45324,--,--,--,16641,--,--,11626,--,26265 69650,--,--,18040,--,--,
BW B Tech in CS,,4030,9465,7447,3276,8846,4623,5624,--,6750,2005,--,3669,2023,6337,3911,1263,5557,3326,18840 21207 33089 27018 27702 29081,,,,,
DB B Tech in ME,,--,--,--,29258,--,--,30435,--,--,19114,--,--,13528,--,--,8915,--,35994 77433 96828 96205 72505,,,,--,--,
11,E011,M V J College of Engineering,,,Bangalore,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AE Aeronaut.Engg,,67851,--,--,62455,--,72429 69335,,--,--,49974,--,--,51248,--,--,49376 57287 62707 117856127158134029117199,,,,,,--,118634,
AI Artificial,,--,--,--,25728,--,--,28096,--,--,22455,--,25844 23436 27738,,--,21335,--,23966 65633,,--,74055 47415,,--,--,
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
CD Computer Sc.,,37495 62097,,--,37152,--,44838 30058,,--,--,--,--,--,28886,--,--,27848,--,30473 91772,--,117522106215,,--,--,
and Design,,,,,,,,,,,,,,,,,,,,,,,,,
CE Civil,,--,--,--,113011,--,--,--,--,--,--,--,--,--,--,--,88679 96194 110434144521,,,--,--,--,--,--,
CH Chemical,,--,--,--,58922,--,--,--,--,--,61642,--,--,--,--,--,47225 75517 65269 70135,,,--,--,--,--,--,
CS Computers,,25188,--,--,25378 29304 30348 29027,,,,--,--,22857,--,23622 22816,--,23317 21470 25020 23259 67410 71108 78941 50515,,,,,,,,--,60489,
,,,,,,ENGINEERING CUTOFF RANK OF CET-2024 - MOCK,,,,,,,,ALLOTMENT ( GENERAL ),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,25-AUG-24 05:02 PM,,,,,
11,E011,M V J College of Engineering,,Bangalore,,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
DS Comp. Sc. Engg- 28329,,,--,39340 27065,--,31297,--,--,--,26448 55320,,--,26656,--,--,25858,--,25962 69059,,--,--,55135,--,--,
Data Sc.,,,,,,,,,,,,,,,,,,,,,,,,,
EB EAT,,--,--,--,39186,--,44221 53552 216975,,--,36396,--,40023 35829,,--,--,34457,--,38501 98012,,--,--,126659,--,--,
EC Electronics,,35951,--,--,34651 38395 41810 60961,,,--,--,31686,--,--,32407,--,34557 30850 37784 34091 96972 117365102727118037,,,,,,,,--,122007,
EE Electrical,,--,--,--,50574,--,--,--,--,212708 48567,--,--,--,--,--,42098,--,44842 97489,,--,--,82144,--,--,
EV EC,Engg(VLSI,51928,--,80300 51307,--,--,69456,--,--,--,--,--,47494,--,--,41925,--,42714 135447,,--,174153152305,,--,--,
Design),,,,,,,,,,,,,,,,,,,,,,,,,
IE Info.Science,,31595,--,--,29126 33635 34479 38428,,,--,--,25964,--,--,26894,--,28512 25414 31177 27733 86759,,,,,--,92587 79373,,--,116855,
ME Mechanical,,131597,--,--,93101,--,--,--,--,--,--,--,--,--,--,--,91758,--,121796149512,--,--,177404,--,--,
OT Industrial IOT,,--,--,--,93253,--,--,--,--,235381,--,--,--,--,--,--,76181,--,100088137795,--,--,235763,--,--,
SE Aero Space,,49573,--,--,46265,--,76228 45046,--,--,38489,--,--,38125,--,--,35163 43568 60901 77031,,,,--,112709112759,,--,--,
Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
12,E012,Sir M.Visveswaraya Institute of Technology,,,,,"Hunasemaranahalli,Bangalore,",,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AI Artificial,,19024,--,--,14804,--,21275 22040,--,--,13124 21915,,--,13784,--,--,11464,--,13646 40508,,--,41933 39586,,--,--,
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
BT Bio Technology,,40741,--,--,45041,--,48080 70460,--,--,37031,--,--,34371,--,--,26906 76840 37825 84711,,,,--,147423 83332,,--,--,
CE Civil,,104876139096,,--,117096,--,138795129043,--,--,96148,--,--,94064,--,--,93115,--,106974127353,,--,160183 93148,,--,--,
CS Computers,,16776,--,18211 17259 18560 18136 20627,,,,--,31354 13950,,--,--,13499,--,15867 13016 15555 15419 53246 58926 60076 42520 47411 46805,,,,,,,,,,
DS Comp. Sc. Engg- 17553,,,--,--,19931 29892 22319,,--,--,--,--,--,16903 15847,,--,--,15718 25355 15809 54750,,,,--,--,67846,--,--,
Data Sc.,,,,,,,,,,,,,,,,,,,,,,,,,
EC Electronics,,26753,--,27436 24754,--,28486 27820,,--,--,18788,--,--,21057,--,--,18634 24316 21496 74316 108935 82247 67606,,,,,,,--,91384,
EE Electrical,,45118,--,--,43733 71066 56521 52012,,,--,--,37109,--,--,38099,--,54086 36016 39496 49264 121285,,,,,--,126299 94969,,--,109855,
ES Electronics and,,--,--,--,30299,--,--,36524,--,--,26665,--,32886 27560,--,--,26110 29127 27967 115419121428150751106328,,,,,,,--,--,
Computer,,,,,,,,,,,,,,,,,,,,,,,,,
"IC CS-IoT, Cyber",,22753,--,36438 24349,--,--,22731,--,--,17074,--,--,17039 33566,,--,16626,--,22507 75170,,--,108610 63435,,--,--,
Security,,,,,,,,,,,,,,,,,,,,,,,,,
IE Info.Science,,19964,--,--,19145,--,22408 23230,--,--,15577,--,--,16053,--,18561 15508 20117 18534 65361 82425 66112 66920,,,,,,,,--,80304,
ME Mechanical,,76948,--,--,91736,--,--,107017167353198300 80670,,,--,96155 82385,,--,--,74427,--,94481 158497,,--,--,180958,--,--,
RI Robotics and AI 29292,,,--,--,29237,--,30167 34859,--,--,23746,--,--,27114,--,--,23652 39498 25483 88963,,,,--,122175 88986,,--,--,
TC Telecommn.,,60832,--,--,61165,--,--,67938,--,--,49574,--,--,50135,--,--,48559 65419 65587 146396,,,--,--,103806,--,--,
13,E013,Ghousia Engineering College,,Ramanagara,,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AI Artificial,,75305,--,--,76033,--,95910 79660,--,--,64990,--,--,67004,--,--,55343,--,63683 133593162137189727117285,,,,,--,--,
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
CE Civil,,--,--,--,175838,--,--,--,--,--,--,142089,--,--,--,--,124627,--,149266190865,--,--,184865,--,--,
CS Computers,,94254,--,--,96667 101798104401 91659,,,--,--,72910,--,--,77943,--,82618 71070 87769 76083 146704147962153815135651,,,,,,,,--,136728,
CY CS- Cyber,,--,--,104081 98907,--,--,--,--,--,--,--,--,91715,--,--,81547,--,96609 139778,,--,--,139635,--,--,
Security,,,,,,,,,,,,,,,,,,,,,,,,,
EC Electronics,,114040,--,--,102650,--,105850102882,--,--,79941,--,--,90954,--,--,79526 83660 79929 178317,,,,--,216213122922,,--,--,
EE Electrical,,--,--,--,117630,--,--,--,--,--,--,--,--,103203,--,--,101581,--,114477188368,--,--,227370,--,--,
