,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
ET Elec.,,48190,--,--,48852 73807 59087 58861,,,--,--,40552,--,--,47950,--,--,40416,--,44114 87103,,--,125141 42020,,--,--,
Telecommn. Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
IE Info.Science,,12320,--,--,12156,--,12764 13767,--,--,10838,--,--,10649 21488 12534 10576 16709 12338 41045,,,,,,,--,43761 19282,,--,--,
IO CS- Internet of 21088,,--,--,16535,--,30515 16165,,--,--,14280,--,--,18474,--,--,13448 36071 16495 45097,,,,--,98414,--,--,--,
Things,,,,,,,,,,,,,,,,,,,,,,,,,
ME Mechanical,,114283,--,--,118826,--,153971115909,--,--,100613,--,--,106480,--,118375100567113088116698151813,,,,,--,169703106221,,--,127940,
13,E013,Ghousia Engineering College,,Ramanagara,,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,174068,--,--,--,--,--,--,--,--
CS Computers,,71207,--,--,73672 83066 77516 72611,,,--,--,66586 83275 74352 68482,,,,--,79732 65903 70472 73482 112660,,,,,--,141849 81830,,--,--,
EC Electronics,,--,--,--,90253,--,--,82597,--,160679,--,--,--,84391,--,--,82065,--,84037 156869,--,171380,--,--,--,
EE Electrical,,118732,--,--,109072,--,166594110859,--,--,101860,--,--,111582,--,--,101471,--,118841162692,,--,--,129581,--,136809,
IE Info.Science,,--,--,108775 86153,--,--,77513,--,--,77058,--,--,77018,--,--,76168 84095 77341 120076,,,,--,--,--,--,--,
ME Mechanical,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,169340,--,--,--,--,--,--,--,--
14,E014,S J C Institute of Technology,,,Chickballapur,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AD Artificial,,49300,--,--,46875,--,59826 68379,--,--,42175,--,--,42207,--,--,39986 43146 40973 79942,,,,--,--,--,--,--,
"Intel, Data Sc",,,,,,,,,,,,,,,,,,,,,,,,,
AE Aeronaut.Engg,,--,--,--,64045,--,--,--,--,--,--,--,--,--,--,--,43460,--,46680 63439,--,64734 77710,,--,--,
"CA CS (AI, Machine 52500",,--,--,38694,--,41395 43087,,--,--,36496,--,--,47986,--,--,34208 56421 40233 72941,,,,--,--,--,--,--,
Learning),,,,,,,,,,,,,,,,,,,,,,,,,
CD Computer Sc.,,62014,--,--,66665,--,81304 77297 95680,,--,54484,--,--,62928,--,--,50134,--,60014 104748,,--,109629,--,--,--,
and Design,,,,,,,,,,,,,,,,,,,,,,,,,
CE Civil,,125344,--,--,133533,--,148381,--,--,--,117924,--,--,120369,--,--,116427162357141316147172,,,--,--,--,--,--,
CK Civil Engg,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,171550,--,--,--,--,--,--,--,--
(Kannada),,,,,,,,,,,,,,,,,,,,,,,,,
CS Computers,,29887,--,--,27506 49488 27572 30049,,,--,41068 23651,,--,--,28852,--,33133 22526 28506 25245 59882 79970 61836 30308,,,,,,,,--,42008,
EC Electronics,,63296,--,73993 64691 83174 65840 57643,,,,--,--,48517 85312 59488 54224,,,,--,61755 48019 67684 54498 105195,,,,,--,108786 60035,,--,67408,
IE Info.Science,,41361,--,--,38396,--,39856 33605,--,45528 32191,,--,39849 33215,,--,--,32149 45606 38384 74724 100735 76375 49941,,,,,,,--,--,
ME Mechanical,,--,--,--,131985,--,--,--,--,--,--,--,--,--,--,--,113878140474123977128881,,,--,--,142317,--,--,
SE Aero Space,,--,--,--,71595,--,--,77540,--,--,--,--,--,--,107064,--,52319,--,74945 89542,--,113741,--,--,--,
Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
15,E015,Dr.T.Thimmaiah Institute of Technology,,,,BANGARAPET -TQ kolar District,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
"CA CS (AI, Machine",,--,--,--,75744,--,--,--,--,--,--,--,--,71510,--,96716 64800,--,71893 81828,,--,--,--,--,--,
Learning),,,,,,,,,,,,,,,,,,,,,,,,,
CE Civil,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,171627,--,--,--,--,--,--,--,--
